Note,"Check all parsed colums in TestDataColumn enum , see TestPackage for csv parsing",,,,,,,,,,,,
apache-commons-math,1127,rev30/src/main/java,rev30/target/classes,rev30/target/test-classes,rev30/target/classes;rev30/target/test-classes,,org.apache.commons.math3.issues.TestIssue1127;org.apache.commons.math3.util.PrecisionTest,,org.apache.commons.math3,,,,
apache-commons-math,1005,rev30/src/main/java,rev30/target/classes,rev30/target/test-classes,rev30/target/classes;rev30/target/test-classes,,org.apache.commons.math3.issues.TestIssue1005;org.apache.commons.math3.util.MathArraysTest,,org.apache.commons.math3,,,,
apache-commons-math,1141,rev30/src/main/java,rev30/target/classes,rev30/target/test-classes,rev30/target/classes;rev30/target/test-classes,,org.apache.commons.math3.issues.TestIssue1141;org.apache.commons.math3.distribution.UniformIntegerDistributionTest,,org.apache.commons.math3,,,,
apache-commons-math,1230,failure_doc/src,failure_doc/bin,failure_doc/bin,failure_doc/bin,,org.apache.commons.math.issues.ApacheMathTest0,,org.apache.commons.math,,,,
apache-commons-math,1231,failure_doc/src,failure_doc/bin,failure_doc/bin,failure_doc/bin,,org.apache.commons.math.issues.ApacheMathTest1;org.apache.commons.math.complex.ComplexTest;org.apache.commons.math.complex.ComplexFieldTest,,org.apache.commons.math,,,,
apache-commons-math,1232,failure_doc/src,failure_doc/bin,failure_doc/bin,failure_doc/bin,,org.apache.commons.math.issues.ApacheMathTest2,,org.apache.commons.math,,,,
apache-commons-math,1232b,failure_doc/src,failure_doc/bin,failure_doc/bin,failure_doc/bin,,org.apache.commons.math.issues.ApacheMathTest2b,,org.apache.commons.math,,,,
apache-commons-math,1233,failure_doc/src,failure_doc/bin,failure_doc/bin,failure_doc/bin,,org.apache.commons.math.issues.ApacheMathTest3,,org.apache.commons.math,,,,
apache-commons-math,1234,failure_doc/src,failure_doc/bin,failure_doc/bin,failure_doc/bin,,org.apache.commons.math.issues.ApacheMathTest4,,org.apache.commons.math,,,,
apache-commons-math,1234b,failure_doc/src,failure_doc/bin,failure_doc/bin,failure_doc/bin,,org.apache.commons.math.issues.ApacheMathTest4b,,org.apache.commons.math,,,,
commons-cli,233,v1.0/src/main/java,v1.0/target/classes,v1.0/target/test-classes,v1.0/target/classes;v1.0/target/test-classes,v1.0/libs,issues.TestIssue233;org.apache.commons.cli.GnuParseTest;org.apache.commons.cli.OptionBuilderTest;org.apache.commons.cli.PatternOptionBuilderTest,,org.apache.commons.cli;issues,,,,
commons-cli,233-v1.2,v1.2/src/java,v1.2/target/classes,v1.2/target/test-classes,v1.2/target/classes;v1.2/target/test-classes,,issues.TestIssue233;org.apache.commons.cli.GnuParserTest;org.apache.commons.cli.OptionBuilderTest;org.apache.commons.cli.PatternOptionBuilderTest,,org.apache.commons.cli;issues,,,,
opencsv,102,release3.1/src/main/java,release3.1/target/classes,release3.1/target/test-classes,release3.1/target/classes;release3.1/target/test-classes,release3.1/lib,issues.Issue102;com.opencsv.CSVIteratorTest;com.opencsv.CSVReaderTest;com.opencsv.OpencsvTest;com.opencsv.UniCodeTest;,,issues;com.opencsv,,,,
opencsv,108,release3.1/src/main/java,release3.1/target/classes,release3.1/target/test-classes,release3.1/target/classes;release3.1/target/test-classes,release3.1/lib,issues.Issue108;com.opencsv.CSVIteratorTest;com.opencsv.CSVReaderTest;com.opencsv.OpencsvTest;com.opencsv.UniCodeTest;,,issues;com.opencsv,,,,
opencsv,106,release3.1/src/main/java,release3.1/target/classes,release3.1/target/test-classes,release3.1/target/classes;release3.1/target/test-classes,release3.1/lib,issues.Issue106;com.opencsv.CSVIteratorTest;com.opencsv.CSVReaderTest;com.opencsv.OpencsvTest;com.opencsv.UniCodeTest;,,issues;com.opencsv,,,,
