2015-06-23 10:52:52 [INFO ] root:33 	Running TARANTULA
2015-06-23 10:52:52 [DEBUG] root:61 	start cmd..
2015-06-23 10:52:52 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java -ea -cp D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\trunk/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\trunk/target/test-classes sav.strategies.junit.JunitRunner -methods diffutils.DiffRowGeneratorTest.testGenerator_IgnoreWhitespaces diffutils.DiffRowGeneratorTest.testGenerator_Default diffutils.DiffRowGeneratorTest.testGenerator_InlineDiff diffutils.issues.Issue18.testGenerateDiffRowsListOfStringListOfStringChange1 -testingpkgs difflib diffutils -destfile C:\Users\DELL50~1\AppData\Local\Temp\junitResult6369414822990854994.temp
2015-06-23 10:52:52 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java
2015-06-23 10:52:52 [DEBUG] root:61 	-ea
2015-06-23 10:52:52 [DEBUG] root:61 	-cp
2015-06-23 10:52:52 [DEBUG] root:61 	D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\trunk/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\trunk/target/test-classes
2015-06-23 10:52:52 [DEBUG] root:61 	sav.strategies.junit.JunitRunner
2015-06-23 10:52:52 [DEBUG] root:61 	-methods
2015-06-23 10:52:52 [DEBUG] root:61 	diffutils.DiffRowGeneratorTest.testGenerator_IgnoreWhitespaces
2015-06-23 10:52:52 [DEBUG] root:61 	diffutils.DiffRowGeneratorTest.testGenerator_Default
2015-06-23 10:52:52 [DEBUG] root:61 	diffutils.DiffRowGeneratorTest.testGenerator_InlineDiff
2015-06-23 10:52:52 [DEBUG] root:61 	diffutils.issues.Issue18.testGenerateDiffRowsListOfStringListOfStringChange1
2015-06-23 10:52:52 [DEBUG] root:61 	-testingpkgs
2015-06-23 10:52:52 [DEBUG] root:61 	difflib
2015-06-23 10:52:52 [DEBUG] root:61 	diffutils
2015-06-23 10:52:52 [DEBUG] root:61 	-destfile
2015-06-23 10:52:52 [DEBUG] root:61 	C:\Users\DELL50~1\AppData\Local\Temp\junitResult6369414822990854994.temp
2015-06-23 10:52:52 [DEBUG] root:61 	failureTraces= diffutils.issues.Issue18:32
2015-06-23 10:52:52 [INFO ] root:33 	Slicing-creating trace file...
2015-06-23 10:52:52 [DEBUG] root:61 	start cmd..
2015-06-23 10:52:52 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java -javaagent:C:\Users\DELL50~1\AppData\Local\Temp\tracer.jar=tracefile:C:\Users\DELL50~1\AppData\Local\Temp\javaSlicer7315958205552881842.trace -cp D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\trunk/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\trunk/target/test-classes sav.strategies.junit.JunitRunner -methods diffutils.issues.Issue18.testGenerateDiffRowsListOfStringListOfStringChange1
2015-06-23 10:52:52 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java
2015-06-23 10:52:52 [DEBUG] root:61 	-javaagent:C:\Users\DELL50~1\AppData\Local\Temp\tracer.jar=tracefile:C:\Users\DELL50~1\AppData\Local\Temp\javaSlicer7315958205552881842.trace
2015-06-23 10:52:52 [DEBUG] root:61 	-cp
2015-06-23 10:52:52 [DEBUG] root:61 	D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\trunk/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\trunk/target/test-classes
2015-06-23 10:52:52 [DEBUG] root:61 	sav.strategies.junit.JunitRunner
2015-06-23 10:52:52 [DEBUG] root:61 	-methods
2015-06-23 10:52:52 [DEBUG] root:61 	diffutils.issues.Issue18.testGenerateDiffRowsListOfStringListOfStringChange1
2015-06-23 10:53:14 [INFO ] root:33 	Slicing-slicing...
2015-06-23 10:53:14 [DEBUG] root:61 	traceFilePath= C:\Users\DELL50~1\AppData\Local\Temp\javaSlicer7315958205552881842.trace
2015-06-23 10:53:14 [INFO ] root:33 	entry points= diffutils.issues.Issue18:32
2015-06-23 10:53:23 [DEBUG] root:61 	Read Slicing Result:
2015-06-23 10:53:23 [DEBUG] root:61 	slicing-result:
2015-06-23 10:53:23 [DEBUG] root:61 	difflib.myers.Snake:90
2015-06-23 10:53:23 [DEBUG] root:61 	difflib.DiffRowGenerator$Builder:156
2015-06-23 10:53:23 [DEBUG] root:61 	difflib.myers.Snake:82
2015-06-23 10:53:23 [DEBUG] root:61 	difflib.DiffRowGenerator$Builder:148
2015-06-23 10:53:23 [DEBUG] root:61 	difflib.DiffUtils:51
2015-06-23 10:53:23 [DEBUG] root:61 	difflib.ChangeDelta:34
2015-06-23 10:53:23 [DEBUG] root:61 	difflib.DiffRowGenerator:285
2015-06-23 10:53:23 [DEBUG] root:61 	difflib.myers.MyersDiff:80
2015-06-23 10:53:23 [DEBUG] root:61 	difflib.DiffRowGenerator:288
2015-06-23 10:53:23 [DEBUG] root:61 	difflib.DiffRow:31
2015-06-23 10:53:23 [DEBUG] root:61 	difflib.DiffRowGenerator:298
2015-06-23 10:53:23 [DEBUG] root:61 	difflib.DiffRowGenerator:297
2015-06-23 10:53:23 [DEBUG] root:61 	difflib.DiffRowGenerator:296
2015-06-23 10:53:23 [DEBUG] root:61 	difflib.DiffRowGenerator:237
2015-06-23 10:53:23 [DEBUG] root:61 	diffutils.issues.Issue18:33
2015-06-23 10:53:23 [DEBUG] root:61 	difflib.DiffRowGenerator:242
2015-06-23 10:53:23 [DEBUG] root:61 	diffutils.issues.Issue18:34
2015-06-23 10:53:23 [DEBUG] root:61 	diffutils.issues.Issue18:16
2015-06-23 10:53:23 [DEBUG] root:61 	difflib.Delta:60
2015-06-23 10:53:23 [DEBUG] root:61 	diffutils.issues.Issue18:15
2015-06-23 10:53:23 [DEBUG] root:61 	difflib.DiffRowGenerator:251
2015-06-23 10:53:23 [DEBUG] root:61 	difflib.DiffRow:57
2015-06-23 10:53:23 [DEBUG] root:61 	diffutils.issues.Issue18:14
2015-06-23 10:53:23 [DEBUG] root:61 	diffutils.issues.Issue18:19
2015-06-23 10:53:23 [DEBUG] root:61 	diffutils.issues.Issue18:18
2015-06-23 10:53:23 [DEBUG] root:61 	difflib.Delta:61
2015-06-23 10:53:23 [DEBUG] root:61 	difflib.DiffRowGenerator:260
